tmid,date,seq_id,exp_time_cmd,exp_time,filter,Alt,Az,current_mean,current_std,alt_std,az_std,electrometer_filename,flag,alt_rank,mount_filename
20240925224823,2024-09-25 22:48:23.967406,28,14.14588,14.551351,Empty,85.7878,90.61921,-6.9235156524822695e-06,4.882467951823436e-06,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_28.npy,True,0.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_28
20240925224838,2024-09-25 22:48:38.303596,29,,0.947746,Empty,80.55444,120.42965,-1.2862168e-05,8.485669094868123e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_29.npy,False,1.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_29
20240925224842,2024-09-25 22:48:42.601737,30,,0.929694,Empty,71.27311,120.42965,-1.547108e-06,6.232435539979538e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_30.npy,False,2.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_30
20240925224846,2024-09-25 22:48:46.914977,31,,0.929373,Empty,62.22056,120.42965,-8.726858999999999e-06,4.792359183836286e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_31.npy,False,3.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_31
20240925224851,2024-09-25 22:48:51.218518,32,,0.92927,Empty,51.36695,120.42965,-1.4079430000000002e-05,6.20785571675116e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_32.npy,False,4.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_32
20240925224855,2024-09-25 22:48:55.523281,33,,0.929596,Empty,41.84401,120.42965,-1.0524805e-05,3.911049079530964e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_33.npy,False,5.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_33
20240925224859,2024-09-25 22:48:59.846464,34,,0.929966,Empty,32.70242,120.42965,-3.715464e-06,3.092218331942297e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_34.npy,False,6.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_34
20240925224915,2024-09-25 22:49:15.155183,35,14.324395,14.755499,Empty,85.75196,120.42965,-9.496914664335664e-06,5.286699069351163e-06,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_35.npy,True,0.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_35
20240925224929,2024-09-25 22:49:29.483540,36,,0.929794,Empty,80.89691,150.39989,-1.5128372e-05,9.216931851630456e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_36.npy,False,1.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_36
20240925224933,2024-09-25 22:49:33.789178,37,,0.930197,Empty,71.67458,150.39997,-1.198195e-06,4.132856296618599e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_37.npy,False,2.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_37
20240925224938,2024-09-25 22:49:38.230006,38,,0.929448,Empty,61.07477,150.39997,-7.426078e-07,9.663708040271085e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_38.npy,False,3.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_38
20240925224942,2024-09-25 22:49:42.546697,39,,0.946522,Empty,51.57806,150.39997,-3.835885e-06,1.8550513562971778e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_39.npy,False,4.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_39
20240925224946,2024-09-25 22:49:46.844635,40,,0.929952,Empty,42.43509,150.39997,-6.079583e-06,2.4906084417266458e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_40.npy,False,5.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_40
20240925224951,2024-09-25 22:49:51.161661,41,,0.929391,Empty,33.56293,150.39997,-4.458518999999999e-06,1.7404349068264518e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_41.npy,False,6.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_41
20240925225006,2024-09-25 22:50:06.631278,42,14.52616,14.898559,Empty,88.34409,150.39997,-6.619077372413793e-06,6.750204344824811e-06,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_42.npy,True,0.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_42
20240925225020,2024-09-25 22:50:20.835977,43,,0.922749,Empty,82.4945,-179.48425,-1.999873e-05,1.1307308964116973e-06,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_43.npy,False,1.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_43
20240925225025,2024-09-25 22:50:25.149939,44,,0.929463,Empty,73.62768,-179.48425,-3.770407e-06,6.893941124356952e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_44.npy,False,2.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_44
20240925225029,2024-09-25 22:50:29.603751,45,,0.929922,Empty,62.83787,-179.48425,-9.900000000000001e+37,0.0,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_45.npy,False,3.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_45
20240925225033,2024-09-25 22:50:33.924700,46,,0.938015,Empty,54.33799,-179.48425,-4.7188920000000005e-06,6.663525205174797e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_46.npy,False,4.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_46
20240925225038,2024-09-25 22:50:38.236345,47,,0.9295,Empty,43.70005,-179.48425,-3.851428999999999e-06,1.3509164315012225e-07,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_47.npy,False,5.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_47
20240925225042,2024-09-25 22:50:42.549809,48,,0.930246,Empty,34.6963,-179.48425,-2.135233e-06,9.288994790072824e-08,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_48.npy,False,6.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_48
20240925225057,2024-09-25 22:50:57.353725,49,13.825925,14.24662,Empty,88.97718,-179.48425,-7.232606659420291e-06,7.6470499629488e-06,,,/home/estevesjh/Documents/twilightMonitor/DATA/keysighB2987A/202409/20240925_49.npy,True,0.0,/home/estevesjh/Documents/twilightMonitor/DATA/mount/202409/mount_pointing_20240925_49
